S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
199,11/22/2018,33,6445,2217675,345,340,344
200,11/21/2018,49,6780,2333168,353,342,343
201,11/20/2018,16,2001,688135,349,342,347
202,11/19/2018,31,5455,1882026,347,344,346
203,11/18/2018,46,6006,2070045,349,343,345
204,11/15/2018,33,5701,1993336,351,348,349
205,11/14/2018,11,1763,617198,352,349,350
206,11/13/2018,24,3940,1379311,351,348,349
207,11/12/2018,22,1885,656791,352,347,348
208,11/11/2018,17,3083,1088481,356,352,352
209,11/6/2018,4,1030,364620,354,348,354
210,11/5/2018,33,10438,3650891,352,348,349
211,11/4/2018,52,15056,5270628,353,348,348
212,11/1/2018,39,6758,2373718,352,350,352
213,10/31/2018,36,9391,3301581,355,350,352
214,10/30/2018,53,11760,4125176,354,348,352
215,10/29/2018,63,8152,2848363,351,348,350
216,10/28/2018,43,11851,4169346,355,350,353
217,10/25/2018,42,5436,1935652,358,355,357
218,10/24/2018,20,3065,1090911,358,353,358
219,10/23/2018,35,6474,2298042,358,354,358
220,10/22/2018,26,3196,1132136,355,352,355
221,10/21/2018,17,3483,1241372,361,355,355
222,10/15/2018,39,11617,4142312,364,354,354
223,10/14/2018,39,12769,4518296,358,350,357
224,10/11/2018,48,10534,3684791,352,346,350
225,10/10/2018,35,6502,2251599,348,345,347
226,10/9/2018,43,9551,3329450,350,347,347
227,10/8/2018,53,9581,3332671,357,344,349
228,10/7/2018,47,10164,3510504,348,344,344
229,10/4/2018,62,15025,5220906,350,345,348
230,10/3/2018,97,28516,9964261,354,347,347
231,10/2/2018,65,12983,4605484,358,352,353
232,10/1/2018,81,21976,7847500,362,352,352
233,9/30/2018,63,11183,4056016,366,361,361
234,9/27/2018,73,14911,5477305,370,365,365
235,9/26/2018,84,18655,6883797,375,364,365
236,9/25/2018,171,48115,17726459,373,361,371
